"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"EXR";"Extra Space Storage";"Real Estate";111.55;0.26966566;442632;3.169;3.52
"F";"Ford Motor";"Consumer Discretionary";8.1;0.4962774;77453611;0.01;0.6
"FANG";"Diamondback Energy";"Energy";72.51;0.7083363;1898177;6.708;0.688
"FAST";"Fastenal Co";"Industrials";37.82;2.3822446;4381446;1.38;0.87
"FB";"Facebook, Inc.";"Communication Services";207.19;-2.7550902;25030810;6.43;NA
"FBHS";"Fortune Brands Home & Security";"Industrials";72.37;0.89223385;1311632;3.057;0.88
"FCX";"Freeport-McMoRan Inc.";"Materials";12.4;1.8898894;28991182;-0.168;0.2
"FDX";"FedEx Corporation";"Industrials";158;0.7781613;1953983;0.272;2.6
"FE";"FirstEnergy Corp";"Utilities";51.54;0.3504679;2547325;1.685;1.5
"FFIV";"F5 Networks";"Information Technology";126.09;-0.64613295;702500;6.538;NA
"FIS";"Fidelity National Information Services";"Information Technology";149.51;-0.31337595;2488926;1.984;1.37
"FISV";"Fiserv Inc";"Information Technology";120.71;-2.029056;2608797;1.709;NA
"FITB";"Fifth Third Bancorp";"Financials";29.51;0.37415174;4473671;3.33;0.94
"FLIR";"FLIR Systems";"Information Technology";56.42;4.6170926;1105988;1.946;0.67
"FLS";"Flowserve Corporation";"Industrials";47.56;1.4072491;643794;1.88;0.76
"FLT";"FleetCor Technologies Inc";"Information Technology";315.75;0.65991056;848344;9.94;NA
"FMC";"FMC Corporation";"Materials";105.25;0.3719239;987089;3.62;1.64
"FOX";"Fox Corporation Class B";"Communication Services";36.61;-0.4622028;908747;2.858;0.46
"FOXA";"Fox Corporation Class A";"Communication Services";37.13;-0.4557592;2288492;2.858;0.46
"FRC";"First Republic Bank";"Financials";117.17;1.1044946;572083;5.2;0.76
"FRT";"Federal Realty Investment Trust";"Real Estate";124;-3.1022904;979377;4.61;4.11
"FTI";"TechnipFMC";"Energy";17.4;7.0110664;4547963;-5.036;0.52
"FTNT";"Fortinet";"Information Technology";117.32;-1.1875715;946618;1.87;NA
"FTV";"Fortive Corp";"Industrials";79.4;0.07563044;1833104;1.97;0.28
"GD";"General Dynamics";"Industrials";186.94;0.37047112;1578843;11.537;3.99
